"churn"	"gbmPred"	"glmPred"
FALSE	0.0563935856135567	0.025309715305398
FALSE	0.0860127002132034	0.0471615634812252
FALSE	0.0919647804478869	0.0816717802757781
FALSE	0.0585566533642223	0.0730375016780675
FALSE	0.0586338047022139	0.0807971541157846
FALSE	0.0633972059454291	0.246910374829888
FALSE	0.072450942342653	0.0484094373839767
FALSE	0.0910905608734151	0.308953851331053
FALSE	0.0782982723775836	0.0871028333260349
FALSE	0.0803640368899115	0.212432349433735
FALSE	0.0595079981535591	0.0889846122862941
FALSE	0.0700104729730701	0.0191360784893221
FALSE	0.0574630060320145	0.0130465862494187
FALSE	0.0577962054376794	0.0388318407608127
FALSE	0.05645711399632	0.0186953421173579
FALSE	0.0579359009463636	0.0277808058559577
FALSE	0.0666975310960441	0.0227105258336225
TRUE	0.0755825063876037	0.0889846122862941
FALSE	0.069228057391562	0.0480508141074885
FALSE	0.0960876290886898	0.0915506861782574
FALSE	0.0584055910050904	0.0802188247394875
FALSE	0.0565053491457812	0.0199866316730094
FALSE	0.0662525353200392	0.0388318407608127
FALSE	0.0747350278454065	0.0785876656120972
FALSE	0.0812340065363298	0.0692407152548803
FALSE	0.0724820947516129	0.105770568295084
FALSE	0.0712349485085962	0.0604227086361018
FALSE	0.0719510150489023	0.041743654362629
FALSE	0.0694836721719985	0.0776121549577943
FALSE	0.056421113387612	0.00216736898690439
FALSE	0.0687283733770402	0.0750560783180744
FALSE	0.0577645198814586	0.0347739733688781
FALSE	0.0582942970187031	0.021529198733547
FALSE	0.0908583718793224	0.0972684820719324
FALSE	0.0694836721719985	0.0335002435715838
FALSE	0.0709469686206441	0.0495006075732793
FALSE	0.0892055081596847	0.153167906242508
FALSE	0.0674506183535267	0.0130465862494187
FALSE	0.0580472927495849	0.0250492291077464
FALSE	0.079746131920739	0.0619938494129301
FALSE	0.0695247113208444	0.0502479146859997
FALSE	0.0740551616398248	0.0640828707852441
TRUE	0.0922258374824415	0.152186717670048
FALSE	0.0565012191588171	0.0079320477241391
FALSE	0.0731843988903825	0.0753692375489575
FALSE	0.0687678314797018	0.0680293494538449
FALSE	0.0564581516604924	0.0150324721467894
TRUE	0.0833827623859651	0.103574170311145
FALSE	0.0748450658044985	0.0541025633407506
FALSE	0.0696394288800182	0.0372296829797244
FALSE	0.0741278679818788	0.0582427689118688
FALSE	0.0565764022184332	0.0521379897962373
FALSE	0.0693357697714891	0.0410699138708426
FALSE	0.079529097607892	0.117286778428192
FALSE	0.0690714917907928	0.022160506334608
FALSE	0.0857204894277017	0.0409193428772838
FALSE	0.0838804632894828	0.263235093627181
FALSE	0.0574256112712812	0.0889846122862941
FALSE	0.067923656772013	0.088670435480661
FALSE	0.0596786384300128	0.115369111526437
FALSE	0.0710739718107865	0.0378240358592674
FALSE	0.0584551738892152	0.025909927521115
FALSE	0.0584551738892152	0.0115998975061057
FALSE	0.0775399369042832	0.0479201884924015
FALSE	0.0580783185821177	0.0912263245876987
FALSE	0.062149188785782	0.205946595503241
FALSE	0.0756585453022723	0.0754537054818427
FALSE	0.056421113387612	0.0153539173243589
FALSE	0.0716367258293545	0.0848125744604103
FALSE	0.0602954491687181	0.0725103329239275
FALSE	0.0823650910636114	0.112217898414486
FALSE	0.0694378448661065	0.0356140079481873
FALSE	0.0751544222311041	0.120240060142675
FALSE	0.0705855444824527	0.0476442206174702
FALSE	0.0791284570672351	0.219685069112355
FALSE	0.094171607737575	0.17696688254201
FALSE	0.0578277302051752	0.0666953568798117
FALSE	0.0802315759342592	0.0505282800361532
FALSE	0.0745432511685449	0.0745882167837906
FALSE	0.0755174269037891	0.092530001047377
FALSE	0.0571768321861142	0.0062576586900506
