"Caco2A2BPapp","FractionHumanAbsorption"
1.62416317551769e-07,0.0409539490504486
6.99386724464744e-08,0.245179632451449
1.08253915843837e-07,0.273307221091601
9.11867391309851e-08,0.345313602568954
1.2053644949804e-07,0.366384749905403
1.44628141237096e-07,0.368802348056411
1.07537436153647e-07,0.60121084442081
1.28988476643174e-07,0.619907345857664
7.19262120384266e-08,0.661472853154434
2.23082488116921e-07,0.569021200004091
2.71350977837363e-07,0.49702709059857
3.72601406850083e-07,0.439047687225796
6.08394655221838e-07,0.227667385946432
6.93270651483303e-07,0.378896127138664
1.29040122929252e-06,0.300140106153421
7.43912120412779e-07,0.49753638157962
4.62319017794462e-07,0.585668265444914
3.24254752699802e-07,0.701768201016537
5.19743471766041e-07,0.804332041356882
1.00498097260338e-06,0.644199912050152
1.16273763553492e-06,0.644273544481147
1.33673218376408e-06,0.958297454567768
1.79812278757771e-06,0.716586727754313
2.83159762390305e-06,0.493560230305882
3.18480875206715e-06,0.688968430095211
6.87337533693986e-06,0.503310391376824
4.40230769981921e-06,0.903085403393228
6.11108383184396e-06,0.907902191587495
7.42949277471595e-06,0.861489215916877
8.89178776411105e-06,0.989486925130135
1.00372749938247e-05,1
1.39549612156167e-05,0.933900575764704
1.37805820692001e-05,0.954824458239162
1.44580469433126e-05,0.985081251342258
1.79841920621765e-05,1
1.80580305069188e-05,0.806123763844431
2.11411247904581e-05,0.82248243559719
2.24801597195764e-05,0.789955309205077
2.41688954662559e-05,0.813247701543213
2.32347103662563e-05,0.95973942300809
2.43918772984004e-05,0.959763967151755
2.65460606205885e-05,0.980736937913544
3.38325992906876e-05,1
4.15913773911468e-05,1
4.47368342557823e-05,1
4.69626676733734e-05,1
5.77461406233902e-05,1
6.06192381877277e-05,1
5.30451141419193e-05,0.997365595246618
5.37062274035677e-05,0.985743943221215
4.99418893777915e-05,0.974079338944398
3.96593247615725e-05,0.957683850976141
5.24415113160713e-05,0.962476095026743
5.5055868271476e-05,0.960175081558144
4.93689479303574e-05,0.943840953949051
5.24760995783791e-05,0.929918288455049
2.89436049321106e-05,0.911013161797041
3.55862249871599e-05,0.908791916795353
3.87454631248876e-05,0.908834869046767
4.06617106673254e-05,0.925138316476279
4.70556529033155e-05,0.913584160845955
5.06286642857895e-05,0.899667631387869
3.23111444911222e-05,0.876185021936329
4.65421186658942e-05,0.855439084503441
4.12597142817222e-05,0.804215456674473
4.54696582295531e-05,0.806590102574067
4.89475934147353e-05,0.767092439381079
5.46194072373383e-05,0.753194318030742
